highwaylkm100,Thighwaylkm100,wheelbase,length,width,horsepower,wheelbase2,length2,width2,horsepower2,fueldummy,aspirationdummy,makealfa_rom,makeaudi,makebmw,makechevrole,makedodge,makehonda,makeisuzu,makejaguar,makemazda,makemercedes,makemercury,makemitsubis,makenissan,makepeugot,makeplymouth,makeporsche,makesaab,makesubaru,maketoyota,makevolkswag,make
8.71,3.9025418253,225.044,428.752,162.814,111,225.044,428.752,162.814,111,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alfa-rom
8.71,3.9025418253,225.044,428.752,162.814,111,225.044,428.752,162.814,111,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alfa-rom
9.05,4.0166435826,240.03,434.848,166.37,154,240.03,434.848,166.37,154,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alfa-rom
7.84,3.6,253.492,448.564,168.148,102,253.492,448.564,168.148,102,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
10.69,4.5391130897,252.476,448.564,168.656,115,252.476,448.564,168.656,115,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
9.41,4.1351446601,253.492,450.342,168.402,110,253.492,450.342,168.402,110,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
9.41,4.1351446601,268.732,489.458,181.356,110,268.732,489.458,181.356,110,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
9.41,4.1351446601,268.732,489.458,181.356,110,268.732,489.458,181.356,110,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
11.76,4.8585712798,268.732,489.458,181.356,140,268.732,489.458,181.356,140,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
10.69,4.5391130897,252.73,452.628,172.466,160,252.73,452.628,172.466,160,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi
8.11,3.6956123464,257.048,449.072,164.592,101,257.048,449.072,164.592,101,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
8.11,3.6956123464,257.048,449.072,164.592,101,257.048,449.072,164.592,101,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
8.4,3.7965506985,257.048,449.072,164.592,121,257.048,449.072,164.592,121,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
8.4,3.7965506985,257.048,449.072,164.592,121,257.048,449.072,164.592,121,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
9.41,4.1351446601,262.89,480.06,169.926,121,262.89,480.06,169.926,121,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
10.69,4.5391130897,262.89,480.06,169.926,182,262.89,480.06,169.926,182,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
10.69,4.5391130897,262.89,492.252,172.466,182,262.89,492.252,172.466,182,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
11.76,4.8585712798,279.4,500.38,180.086,182,279.4,500.38,180.086,182,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw
4.44,2.2142615011,224.536,358.394,153.162,48,224.536,358.394,153.162,48,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chevrole
5.47,2.6776062254,240.03,395.986,161.544,70,240.03,395.986,161.544,70,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chevrole
5.47,2.6776062254,240.03,403.352,161.544,70,240.03,403.352,161.544,70,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chevrole
5.74,2.7916594203,237.998,399.542,162.052,68,237.998,399.542,162.052,68,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
6.19,2.9759421218,237.998,399.542,162.052,68,237.998,399.542,162.052,68,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
7.84,3.6,237.998,399.542,162.052,102,237.998,399.542,162.052,102,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
6.19,2.9759421218,237.998,399.542,162.052,68,237.998,399.542,162.052,68,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
6.19,2.9759421218,237.998,399.542,162.052,68,237.998,399.542,162.052,68,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
6.19,2.9759421218,237.998,399.542,162.052,68,237.998,399.542,162.052,68,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
7.84,3.6,237.998,399.542,162.052,102,237.998,399.542,162.052,102,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
7.84,3.6,262.382,443.484,164.084,88,262.382,443.484,164.084,88,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
9.8,4.260990337,243.586,439.928,168.402,145,243.586,439.928,168.402,145,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
4.36,2.1761226036,219.964,367.284,162.306,58,219.964,367.284,162.306,58,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
6.19,2.9759421218,219.964,367.284,162.306,76,219.964,367.284,162.306,76,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
5.6,2.7328638265,237.998,381,162.56,60,237.998,381,162.56,60,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
6.92,3.2611785752,237.998,381,162.56,76,237.998,381,162.56,76,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
6.92,3.2611785752,237.998,381,162.56,76,237.998,381,162.56,76,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
6.92,3.2611785752,245.11,415.036,162.56,76,245.11,415.036,162.56,76,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
6.92,3.2611785752,245.11,399.034,162.306,76,245.11,399.034,162.306,76,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
7.13,3.3404119691,245.11,425.45,165.608,86,245.11,425.45,165.608,86,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
7.13,3.3404119691,245.11,425.45,165.608,86,245.11,425.45,165.608,86,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
7.13,3.3404119691,245.11,445.516,165.608,86,245.11,445.516,165.608,86,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
7.13,3.3404119691,245.11,445.516,158.75,86,245.11,445.516,158.75,86,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
8.4,3.7965506985,245.11,445.516,165.608,101,245.11,445.516,165.608,101,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
7.59,3.5099909256,245.11,429.514,167.64,100,245.11,429.514,167.64,100,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
8.11,3.6956123464,239.522,433.578,156.972,78,239.522,433.578,156.972,78,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,isuzu
5.47,2.6776062254,240.03,395.986,161.544,70,240.03,395.986,161.544,70,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,isuzu
5.47,2.6776062254,240.03,395.986,161.544,70,240.03,395.986,161.544,70,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,isuzu
8.11,3.6956123464,243.84,438.404,165.608,90,243.84,438.404,165.608,90,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,isuzu
12.38,5.0370448343,287.02,506.984,176.784,176,287.02,506.984,176.784,176,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,jaguar
12.38,5.0370448343,287.02,506.984,176.784,176,287.02,506.984,176.784,176,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,jaguar
13.84,5.4404300951,259.08,486.918,179.324,262,259.08,486.918,179.324,262,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,jaguar
7.59,3.5099909256,236.474,404.114,163.068,68,236.474,404.114,163.068,68,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
6.19,2.9759421218,236.474,404.114,163.068,68,236.474,404.114,163.068,68,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
6.19,2.9759421218,236.474,404.114,163.068,68,236.474,404.114,163.068,68,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
6.19,2.9759421218,236.474,423.672,163.068,68,236.474,423.672,163.068,68,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
6.19,2.9759421218,236.474,423.672,163.068,68,236.474,423.672,163.068,68,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
7.35,3.4221766847,250.952,451.612,168.91,84,250.952,451.612,168.91,84,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
7.35,3.4221766847,250.952,451.612,168.91,84,250.952,451.612,168.91,84,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
7.35,3.4221766847,250.952,451.612,168.91,84,250.952,451.612,168.91,84,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
7.35,3.4221766847,250.952,451.612,168.91,84,250.952,451.612,168.91,84,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
5.6,2.7328638265,250.952,451.612,168.91,64,250.952,451.612,168.91,64,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
7.35,3.4221766847,250.952,451.612,168.91,84,250.952,451.612,168.91,84,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
8.71,3.9025418253,266.446,444.5,167.894,120,266.446,444.5,167.894,120,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
6.03,2.9112116631,266.446,444.5,167.894,72,266.446,444.5,167.894,72,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mazda
9.41,4.1351446601,279.4,484.886,178.562,123,279.4,484.886,178.562,123,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
9.41,4.1351446601,279.4,484.886,178.562,123,279.4,484.886,178.562,123,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
9.41,4.1351446601,271.018,476.25,178.562,123,271.018,476.25,178.562,123,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
9.41,4.1351446601,293.624,514.604,182.118,123,293.624,514.604,182.118,123,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
13.07,5.230490993,293.624,514.604,182.118,155,293.624,514.604,182.118,155,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
13.07,5.230490993,245.364,457.962,179.07,155,245.364,457.962,179.07,155,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
14.7,5.6681158051,307.086,528.574,182.118,184,307.086,528.574,182.118,184,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
14.7,5.6681158051,284.48,505.968,182.88,184,284.48,505.968,182.88,184,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mercedes
9.8,4.260990337,260.858,453.136,172.72,175,260.858,453.136,172.72,175,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mercury
5.74,2.7916594203,237.998,399.542,163.576,68,237.998,399.542,163.576,68,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
6.19,2.9759421218,237.998,399.542,163.576,68,237.998,399.542,163.576,68,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
6.19,2.9759421218,237.998,399.542,163.576,68,237.998,399.542,163.576,68,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
7.84,3.6,236.22,399.542,162.052,102,236.22,399.542,162.052,102,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
7.84,3.6,244.602,439.42,166.116,116,244.602,439.42,166.116,116,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
7.35,3.4221766847,244.602,439.42,166.116,88,244.602,439.42,166.116,88,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
9.8,4.260990337,243.586,439.928,168.402,145,243.586,439.928,168.402,145,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
9.8,4.260990337,243.586,439.928,168.402,145,243.586,439.928,168.402,145,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
9.8,4.260990337,243.586,439.928,168.402,145,243.586,439.928,168.402,145,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
7.35,3.4221766847,244.602,437.896,166.116,88,244.602,437.896,166.116,88,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
7.35,3.4221766847,244.602,437.896,166.116,88,244.602,437.896,166.116,88,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
7.84,3.6,244.602,437.896,166.116,116,244.602,437.896,166.116,116,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
7.84,3.6,244.602,437.896,166.116,116,244.602,437.896,166.116,116,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mitsubis
6.36,3.0438080852,240.03,419.862,162.052,69,240.03,419.862,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
4.7,2.3358966777,240.03,419.862,162.052,55,240.03,419.862,162.052,55,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,240.03,419.862,162.052,69,240.03,419.862,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,240.03,419.862,162.052,69,240.03,419.862,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,240.03,432.308,162.052,69,240.03,432.308,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,240.03,419.862,162.052,69,240.03,419.862,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,240.03,420.624,162.052,69,240.03,420.624,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,240.03,419.862,162.052,69,240.03,419.862,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,240.03,432.308,162.052,69,240.03,432.308,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.36,3.0438080852,241.554,412.496,162.052,69,241.554,412.496,162.052,69,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.92,3.2611785752,246.888,440.436,165.608,97,246.888,440.436,165.608,97,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
6.92,3.2611785752,246.888,440.436,165.608,97,246.888,440.436,165.608,97,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
10.69,4.5391130897,255.016,461.518,168.91,152,255.016,461.518,168.91,152,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nissan
